Fault Impact of System Internal Error Sources

Component, Initial Failure Mode, 1st Level Effect, Failure Mode, second Level Effect, Failure Mode, third Level Effect, Failure Mode, 4th Level Effect, Failure Mode, 5th Level Effect, Failure Mode, 6th Level Effect, Failure Mode, 7th Level Effect, More
assa.Conversion,"{TrackComputationError}",{TrackValueError} StdSourceTracks -> assa.Fusion:IncomingData, assa.Fusion {TrackValueError},{TrackValueError} OutgoingCorrelatedTracks -> assa.Assessmnent:AssessmentInput, assa.Assessmnent {TrackValueError},{FalsePositiveASSAData} AssessmentResults -> assa.ASSAFormatting:AssessedInformation, assa.ASSAFormatting {FalsePositiveASSAData},{FalsePositiveASSAData} MFDSAInformation -> assa.AirCrewDisplay:MFDSAInformation, assa.AirCrewDisplay {FalsePositiveASSAData},{FalsePositiveASSAData} AircrewSAInformation -> [No Outgoing Conn],,
assa.Fusion,"{TrackOmission}",{TrackSetIntegrity} OutgoingCorrelatedTracks -> assa.Assessmnent:AssessmentInput, assa.Assessmnent {TrackSetIntegrity},{InaccurateASSAData} AssessmentResults -> assa.ASSAFormatting:AssessedInformation, assa.ASSAFormatting {InaccurateASSAData},{InaccurateASSAData} MFDSAInformation -> assa.AirCrewDisplay:MFDSAInformation, assa.AirCrewDisplay {InaccurateASSAData},{InaccurateASSAData} AircrewSAInformation -> [No Outgoing Conn],,
assa.Fusion,"{TrackComputationError}",{TrackValueError} OutgoingCorrelatedTracks -> assa.Assessmnent:AssessmentInput, assa.Assessmnent {TrackValueError},{FalsePositiveASSAData} AssessmentResults -> assa.ASSAFormatting:AssessedInformation, assa.ASSAFormatting {FalsePositiveASSAData},{FalsePositiveASSAData} MFDSAInformation -> assa.AirCrewDisplay:MFDSAInformation, assa.AirCrewDisplay {FalsePositiveASSAData},{FalsePositiveASSAData} AircrewSAInformation -> [No Outgoing Conn],,
assa.Assessmnent,{TimeSkewedASSADataAircraftPosition},{TimeSkewedASSADataAircraftPosition} AssessmentResults -> assa.ASSAFormatting:AssessedInformation, assa.ASSAFormatting {TimeSkewedASSADataAircraftPosition},{TimeSkewedASSADataAircraftPosition} MFDSAInformation -> assa.AirCrewDisplay:MFDSAInformation, assa.AirCrewDisplay {TimeSkewedASSADataAircraftPosition},{TimeSkewedASSADataAircraftPosition} AircrewSAInformation -> [No Outgoing Conn],,
assa.Assessmnent,"{TrackComputationError}",{OutOfRangeASSAData} AssessmentResults -> assa.ASSAFormatting:AssessedInformation, assa.ASSAFormatting {OutOfRangeASSAData},{OutOfRangeASSAData} MFDSAInformation -> assa.AirCrewDisplay:MFDSAInformation, assa.AirCrewDisplay {OutOfRangeASSAData},{OutOfRangeASSAData} AircrewSAInformation -> [No Outgoing Conn],,
assa.ASSAFormatting,{TimeSkewedASSADataAircraftPosition},{TimeSkewedASSADataAircraftPosition} MFDSAInformation -> assa.AirCrewDisplay:MFDSAInformation, assa.AirCrewDisplay {TimeSkewedASSADataAircraftPosition},{TimeSkewedASSADataAircraftPosition} AircrewSAInformation -> [No Outgoing Conn],,
assa.Sensors,FailStop,{SensorDataOmission} SensorSetReadings -> assa.Conversion:SensorSetReadings, assa.Conversion {SensorDataOmission},{TrackOmission} StdSourceTracks -> assa.Fusion:IncomingData, assa.Fusion {TrackOmission},{TrackOmission} OutgoingCorrelatedTracks -> assa.Assessmnent:AssessmentInput, assa.Assessmnent {TrackOmission},{FalseNegativeASSAData} AssessmentResults -> assa.ASSAFormatting:AssessedInformation, assa.ASSAFormatting {FalseNegativeASSAData},{FalseNegativeASSAData} MFDSAInformation -> assa.AirCrewDisplay:MFDSAInformation, assa.AirCrewDisplay {FalseNegativeASSAData},{FalseNegativeASSAData} AircrewSAInformation -> [No Outgoing Conn],,
assa.Sensors,Degraded,{SensorDataOutofRange} SensorSetReadings -> assa.Conversion:SensorSetReadings, assa.Conversion {SensorDataOutofRange},{TrackValueError} StdSourceTracks -> assa.Fusion:IncomingData, assa.Fusion {TrackValueError},{TrackValueError} OutgoingCorrelatedTracks -> assa.Assessmnent:AssessmentInput, assa.Assessmnent {TrackValueError},{FalsePositiveASSAData} AssessmentResults -> assa.ASSAFormatting:AssessedInformation, assa.ASSAFormatting {FalsePositiveASSAData},{FalsePositiveASSAData} MFDSAInformation -> assa.AirCrewDisplay:MFDSAInformation, assa.AirCrewDisplay {FalsePositiveASSAData},{FalsePositiveASSAData} AircrewSAInformation -> [No Outgoing Conn],,
platform.ChannelA,FailStop,{NetworkFailure} bindings -> [No Outgoing Conn],,
platform.gpu,FailStop,{ProcessorFailure} bindings -> [No Outgoing Conn],,
platform.gpu,FailStop,{ProcessorFailure} To1553 -> platform.ChannelA:access, platform.ChannelA {ProcessorFailure},{NetworkFailure} access -> platform.gpu:To1553, platform.gpu {NetworkFailure} [Masked],
platform.gpu,FailStop,{ProcessorFailure} To1553 -> platform.ChannelA:access, platform.ChannelA {ProcessorFailure},{NetworkFailure} access -> platform.ChannelA:access, platform.ChannelA {NetworkFailure},{NetworkFailure} access -> [Propagation Cycle],,
platform.gpu,FailStop,{ProcessorFailure} To1553 -> platform.ChannelA:access, platform.ChannelA {ProcessorFailure},{NetworkFailure} access -> platform.ChannelA:access, platform.ChannelA {NetworkFailure},{NetworkFailure} bindings -> [Propagation Cycle],,
platform.gpu,FailStop,{ProcessorFailure} To1553 -> platform.ChannelA:access, platform.ChannelA {ProcessorFailure},{NetworkFailure} bindings -> [No Outgoing Conn],,
platform.gpu,FailStop,{ProcessorFailure} ToSwitch -> platform.Switch:access, platform.Switch {ProcessorFailure} [Masked],
platform.apr39d,{SensorFailure},{SensorFailure} network -> platform.ChannelA:access {SensorFailure} [Unhandled Type]
platform.apr39d,{HighRate},{HighRate} SourceTracks -> [No Outgoing Conn],,
platform.apr39d,{LowRate},{LowRate} SourceTracks -> [No Outgoing Conn],,
platform.apr39d,{SensorFailure},{SensorFailure} SourceTracks -> [No Outgoing Conn],,
platform.apr39d,FailStop,{SensorDataOmission} SourceTracks -> [No Outgoing Conn],,
platform.apr39d,{EarlyDelivery},{EarlyDelivery} SourceTracks -> [No Outgoing Conn],,
platform.apr39d,{LateDelivery},{LateDelivery} SourceTracks -> [No Outgoing Conn],,
platform.apr39d,Degraded,{SensorDataOutofRange} SourceTracks -> [No Outgoing Conn],,
platform.Switch,FailStop,{NetworkFailure} bindings -> [No Outgoing Conn],,
platform.Switch,FailStop,{NetworkFailure} access -> platform.gpu:ToSwitch, platform.gpu {NetworkFailure} [Masked],
platform.Switch,FailStop,{NetworkFailure} access -> platform.Switch:access, platform.Switch {NetworkFailure} [Masked],
egi1,{ItemOmission},{ItemOmission} airCraftPosition -> assa:OwnAircraftPosition, assa {ItemOmission},{FalseNegativeASSAData} ASSAAirCrewPresentation -> [No Outgoing Conn],,
egi1,{AirspeedValueError},{AirspeedValueError} airCraftPosition -> assa:OwnAircraftPosition, assa {AirspeedValueError},{InaccurateASSAData} ASSAAirCrewPresentation -> [No Outgoing Conn],,
egi1,{AltitudeValueError},{AltitudeValueError} airCraftPosition -> assa:OwnAircraftPosition, assa {AltitudeValueError},{InaccurateASSAData} ASSAAirCrewPresentation -> [No Outgoing Conn],,
egi1,{LongitudeValueError},{LongitudeValueError} airCraftPosition -> assa:OwnAircraftPosition, assa {LongitudeValueError},{InaccurateASSAData} ASSAAirCrewPresentation -> [No Outgoing Conn],,
egi1,{LatitudeValueError},{LatitudeValueError} airCraftPosition -> assa:OwnAircraftPosition, assa {LatitudeValueError},{InaccurateASSAData} ASSAAirCrewPresentation -> [No Outgoing Conn],,
assa,{InaccurateASSAData},{InaccurateASSAData} ASSAAirCrewPresentation -> [No Outgoing Conn],,
assa,{FalsePositiveASSAData},{FalsePositiveASSAData} ASSAAirCrewPresentation -> [No Outgoing Conn],,
assa,"{SensorLoss}",{FalseNegativeASSAData} ASSAAirCrewPresentation -> [No Outgoing Conn],,
